system:index,composite_stat,date,image_count,precipitation,system_time_start,temporal_scale,year,.geo
0,sum,2014-01-01,365,1403.8496610432821,1388534400000,annual,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,sum,2015-01-01,365,1194.6947770001698,1420070400000,annual,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,sum,2016-01-01,366,1022.6824596346665,1451606400000,annual,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,sum,2017-01-01,365,1485.2140688430097,1483228800000,annual,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,sum,2018-01-01,365,1746.7784679388055,1514764800000,annual,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,sum,2019-01-01,365,1959.037798662084,1546300800000,annual,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,sum,2020-01-01,366,1644.6495530486604,1577836800000,annual,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,sum,2021-01-01,365,1441.637586915553,1609459200000,annual,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,sum,2022-01-01,365,919.4121494787257,1640995200000,annual,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,sum,2023-01-01,365,2230.372531344966,1672531200000,annual,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,sum,2024-01-01,366,1103.9620029347655,1704067200000,annual,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,sum,2025-01-01,364,1191.266287235177,1735689600000,annual,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
